,DUSSELDORF_cloud_cover,DUSSELDORF_wind_speed,DUSSELDORF_humidity,DUSSELDORF_pressure,DUSSELDORF_global_radiation,DUSSELDORF_precipitation,DUSSELDORF_snow_depth,DUSSELDORF_sunshine,DUSSELDORF_temp_mean,DUSSELDORF_temp_min,DUSSELDORF_temp_max
0,8,5.4,0.83,1.0161,0.12,0.08,0,0.0,10.0,7.0,11.5
1,8,3.6,0.89,1.0161,0.18,0.66,0,0.5,8.2,7.4,11.0
2,7,3.1,0.95,1.0161,0.12,0.07,0,0.0,7.1,6.9,9.1
3,8,2.7,0.86,1.0161,0.12,0.02,0,0.0,6.8,3.6,8.0
4,7,4.5,0.92,1.0161,0.12,0.62,0,0.0,7.7,6.2,11.0
5,7,3.7,0.89,1.0161,0.33,0.02,0,2.6,5.0,3.0,6.8
6,7,3.7,0.93,1.0161,0.12,0.11,0,0.0,5.1,4.1,5.9
7,7,4.0,0.86,1.0161,0.12,0.13,0,0.0,3.8,2.2,7.0
8,3,6.4,0.7,1.0161,0.42,0.0,0,4.2,-3.6,-4.0,2.3
9,4,3.4,0.68,1.0161,0.46,0.07,0,4.8,-4.4,-6.9,-2.3
10,5,3.6,0.83,1.0161,0.13,0.36,0,0.0,-3.8,-5.6,-0.8
11,3,2.3,0.83,1.0161,0.28,0.06,4,1.5,-7.1,-8.3,-4.8
12,5,1.5,0.82,1.0161,0.19,0.11,5,0.4,-8.8,-12.4,-7.2
13,8,4.4,0.88,1.0161,0.13,0.25,6,0.0,-6.4,-10.2,-2.8
14,1,2.9,0.77,1.0161,0.49,0.0,10,4.9,-8.6,-10.9,-5.5
15,8,2.0,0.81,1.0161,0.14,0.47,10,0.0,-4.1,-9.8,-1.5
16,5,2.6,0.82,1.0161,0.46,0.03,13,4.1,-2.9,-5.3,-1.9
17,8,5.0,0.87,1.0161,0.24,0.11,13,0.8,2.6,-3.3,3.4
18,7,5.3,0.79,1.0161,0.14,0.0,5,0.0,3.0,1.8,5.5
19,7,8.4,0.82,1.0161,0.15,0.16,0,0.0,1.0,0.0,3.2
20,6,3.1,0.95,1.0161,0.15,0.44,0,0.0,0.6,-1.2,1.6
