,DATE,BASEL_pleasant_weather,BELGRADE_pleasant_weather,BUDAPEST_pleasant_weather,DEBILT_pleasant_weather,DUSSELDORF_pleasant_weather,HEATHROW_pleasant_weather,KASSEL_pleasant_weather,LJUBLJANA_pleasant_weather,MAASTRICHT_pleasant_weather,MADRID_pleasant_weather,MUNCHENB_pleasant_weather,OSLO_pleasant_weather,SONNBLICK_pleasant_weather,STOCKHOLM_pleasant_weather,VALENTIA_pleasant_weather
18263,2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18264,2010-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18265,2010-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18266,2010-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18267,2010-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18268,2010-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18269,2010-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18270,2010-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18271,2010-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18272,2010-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18273,2010-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18274,2010-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18275,2010-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18276,2010-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18277,2010-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18278,2010-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18279,2010-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18280,2010-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18281,2010-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18282,2010-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18283,2010-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18284,2010-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18285,2010-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18286,2010-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18287,2010-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18288,2010-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18289,2010-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18290,2010-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18291,2010-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18292,2010-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18293,2010-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18294,2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
